day,No,Annotation,Filename,RandomForest,kNN,AdaBoost,tAnnotation,tRandomForest,tkNN,tAdaBoost,RF,KNN,AB
4,1,stop,nightTest/nightSequence2--00341.jpg,stop,stop,stop,1,1,1,1,4049,4051,4052
2,2,stop,nightTest/nightSequence1--03413.jpg,stop,stop,stop,1,1,1,1,4337,4336,4337
4,3,go,nightTest/nightSequence2--04480.jpg,go,go,go,1,1,1,1,222,222,222
1,4,go,dayTest/daySequence1--02568.jpg,go,go,go,1,1,1,1,187,187,187
2,5,stop,nightTest/nightSequence1--01579.jpg,stop,stop,stop,1,1,1,1,791,790,788
2,6,stop,nightTest/nightSequence1--00732.jpg,stop,stop,stop,1,1,1,1,31,31,31
2,7,go,nightTest/nightSequence1--04293.jpg,go,go,go,1,1,1,1,8,8,8
4,8,stop,nightTest/nightSequence2--00838.jpg,stop,stop,stop,1,1,1,1,,,
4,9,stop,nightTest/nightSequence2--03370.jpg,stop,stop,stop,1,1,1,1,,,
4,10,go,nightTest/nightSequence2--04396.jpg,go,go,go,1,1,1,1,,,
4,11,go,nightTest/nightSequence2--04454.jpg,go,go,go,1,1,1,1,,,
2,12,stop,nightTest/nightSequence1--02758.jpg,stop,stop,stop,1,1,1,1,,,
4,13,go,nightTest/nightSequence2--03994.jpg,go,go,go,1,1,1,1,,,
4,14,stop,nightTest/nightSequence2--00096.jpg,stop,stop,stop,1,1,1,1,,,
2,15,go,nightTest/nightSequence1--01892.jpg,go,go,go,1,1,1,1,,,
2,16,stop,nightTest/nightSequence1--00979.jpg,stop,stop,stop,1,1,1,1,,,
4,17,stop,nightTest/nightSequence2--06382.jpg,stop,stop,stop,1,1,1,1,,,
2,18,stop,nightTest/nightSequence1--00990.jpg,stop,stop,stop,1,1,1,1,,,
3,19,warning,dayTest/daySequence2--03702.jpg,warning,warning,warning,1,1,1,1,,,
1,20,go,dayTest/daySequence1--02539.jpg,go,go,go,1,1,1,1,,,
4,21,go,nightTest/nightSequence2--04520.jpg,go,go,go,1,1,1,1,,,
2,22,goLeft,nightTest/nightSequence1--03904.jpg,goLeft,goLeft,goLeft,1,1,1,1,,,
4,23,stopLeft,nightTest/nightSequence2--05068.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
1,24,go,dayTest/daySequence1--03041.jpg,go,go,go,1,1,1,1,,,
1,25,go,dayTest/daySequence1--01248.jpg,go,go,go,1,1,1,1,,,
2,26,goLeft,nightTest/nightSequence1--03790.jpg,goLeft,goLeft,goLeft,1,1,1,1,,,
4,27,stopLeft,nightTest/nightSequence2--00847.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
2,28,go,nightTest/nightSequence1--02568.jpg,go,go,go,1,1,1,1,,,
