no	Annotation	Filename	Random Forest	kNN	AdaBoost
1	stop	nightTest/nightSequence2--00341.jpg	stop	stop	stop
2	stop	nightTest/nightSequence1--03413.jpg	stop	stop	stop
3	go	nightTest/nightSequence2--04480.jpg	go	go	go
4	go	dayTest/daySequence1--02568.jpg	go	go	go
5	stop	nightTest/nightSequence1--01579.jpg	stop	stop	stop
6	stop	nightTest/nightSequence1--00732.jpg	stop	stop	stop
7	go	nightTest/nightSequence1--04293.jpg	go	go	go
8	stop	nightTest/nightSequence2--00838.jpg	stop	stop	stop
9	stop	nightTest/nightSequence2--03370.jpg	stop	stop	stop
10	go	nightTest/nightSequence2--04396.jpg	go	go	go
11	go	nightTest/nightSequence2--04454.jpg	go	go	go
12	stop	nightTest/nightSequence1--02758.jpg	stop	stop	stop
13	go	nightTest/nightSequence2--03994.jpg	go	go	go
14	stop	nightTest/nightSequence2--00096.jpg	stop	stop	stop
15	go	nightTest/nightSequence1--01892.jpg	go	go	go
16	stop	nightTest/nightSequence1--00979.jpg	stop	stop	stop
17	stop	nightTest/nightSequence2--06382.jpg	stop	stop	stop
18	stop	nightTest/nightSequence1--00990.jpg	stop	stop	stop
19	warning	dayTest/daySequence2--03702.jpg	warning	warning	warning
20	go	dayTest/daySequence1--02539.jpg	go	go	go
21	go	nightTest/nightSequence2--04520.jpg	go	go	go
22	goLeft	nightTest/nightSequence1--03904.jpg	goLeft	goLeft	goLeft
23	stopLeft	nightTest/nightSequence2--05068.jpg	stopLeft	stopLeft	stopLeft
24	go	dayTest/daySequence1--03041.jpg	go	go	go
25	go	dayTest/daySequence1--01248.jpg	go	go	go
26	goLeft	nightTest/nightSequence1--03790.jpg	goLeft	goLeft	goLeft
27	stopLeft	nightTest/nightSequence2--00847.jpg	stopLeft	stopLeft	stopLeft
28	go	nightTest/nightSequence1--02568.jpg	go	go	go
29	stop	dayTest/daySequence2--00345.jpg	stop	stop	stop
30	stop	dayTest/daySequence2--05496.jpg	stop	stop	stop
31	stop	nightTest/nightSequence1--02920.jpg	stop	stop	stop
32	go	dayTest/daySequence1--03851.jpg	go	go	go
33	go	nightTest/nightSequence2--05635.jpg	go	go	go
34	go	nightTest/nightSequence1--02658.jpg	go	go	go
35	go	nightTest/nightSequence2--04496.jpg	go	go	go
36	go	nightTest/nightSequence1--02649.jpg	go	go	go
37	go	nightTest/nightSequence2--04480.jpg	go	go	go
38	go	dayTest/daySequence1--02492.jpg	go	go	go
39	go	nightTest/nightSequence2--03176.jpg	go	go	go
40	go	nightTest/nightSequence1--02315.jpg	go	go	go
41	go	nightTest/nightSequence2--04303.jpg	go	go	go
